top_absence,abundance,type,lifeform,target_abbr,target,constituents
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Antitrichia curtipendula
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachytheciastrum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachytheciastrum trachypodium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium acutum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium albicans
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium asperrimum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium boreale
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium cirrosum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium coruscum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium erythrorrhizon
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium erythrorrhizon var. erythrorrhizon
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium frigidum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium jacuticum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium rivulare
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium rotaeanum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium turgidum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Brachythecium udum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Bryhnia
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Bryhnia hultenii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Buckiella
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Buckiella undulata
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Cirriphyllum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Cirriphyllum piliferum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Claopodium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Claopodium bolanderi
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Claopodium crispifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Claopodium pellucinerve
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Climacium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Climacium americanum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Climacium dendroides
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Ctenidium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Ctenidium molluscum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Ctenidium schofieldii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Echinophyllum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Echinophyllum sachalinense
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Elodium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Elodium blandowii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Elodium paludosum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Eurhynchiastrum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Eurhynchiastrum pulchellum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Eurhynchiastrum pulchellum var. barnesii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Eurhynchiastrum pulchellum var. pulchellum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Gollania
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Gollania turgens
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Herzogiella
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Herzogiella adscendens
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Herzogiella striatella
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Homalothecium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Homalothecium aeneum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Homalothecium fulgescens
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Homalothecium nuttallii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomiadelphus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomiadelphus triquetrus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomiastrum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomiastrum pyrenaicum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomiastrum umbratum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hylocomium splendens
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hypopterygium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Hypopterygium flavolimbatum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Isothecium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Isothecium cardotii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Isothecium myosuroides
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Isothecium stoloniferum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Kindbergia
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Kindbergia oregana
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Kindbergia praelonga
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Leptopterigynandrum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Leptopterigynandrum austroalpinum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Lescuraea
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Lescuraea saxicola
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Leskea
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Leskea polycarpa
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Leskeella
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Leskeella nervosa
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Myuroclada
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Myuroclada maximowiczii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Neckera
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Neckera douglasii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Neckera menziesii
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Neckera pennata
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pleuroziopsis
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pleuroziopsis ruthenica
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pleurozium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pleurozium schreberi
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea atricha
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea baileyi
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea incurvata
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea incurvata var. incurvata
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea patens
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea radicosa
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea radicosa var. denudata
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea radicosa var. radicosa
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea saviana
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskea stenophylla
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskeella
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskeella rupestris
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudoleskeella tectorum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudostereodon
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Pseudostereodon procerrimus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiadelphus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiadelphus japonicus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiadelphus loreus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiadelphus squarrosus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiadelphus subpinnatus
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiopsis
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidiopsis robusta
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Rhytidium rugosum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Roaldia
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Roaldia revoluta
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Roaldia revoluta var. revoluta
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum hylotapetum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum latifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum oedipodium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum ornellanum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum plumosum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum populeum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum reflexum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Sciuro-hypnum uncinifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Scleropodium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Scleropodium obtusifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Thamnobryum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Thamnobryum neckeroides
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Thuidium
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Thuidium delicatulum
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Thuidium delicatulum var. radicans
FALSE,TRUE,diagnostic species set,7. bryophytes,feather,feathermoss,Thuidium recognitum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum alaskense
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum andersonianum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum angustifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum annulatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum aongstroemii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum arcticum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum austinii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum balticum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum bartlettianum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum bergianum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum beringiense
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum brevifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum capillifolium
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum compactum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum contortum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum cuspidatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum fimbriatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum fimbriatum ssp. concinnum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum fimbriatum ssp. fimbriatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum fuscum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum girgensohnii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum henryense
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum imbricatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum inexspectatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum inundatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum jensenii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum kenaiense
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum lenense
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum lindbergii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum magellanicum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum majus
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum majus
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum majus ssp. majus
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum majus ssp. norvegicum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum mendocinum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum mirum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum moss
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum obtusum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum orientale
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum pacificum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum papillosum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum perfoliatum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum platyphyllum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum pulchrum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum quinquefarium
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum riparium
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum rubellum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum rubiginosum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum russowii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum sitchense
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum squarrosum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum steerei
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum subfulvum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum subnitens
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum subsecundum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum talbotianum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum tenellum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum teres
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum tescorum
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum tundrae
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum warnstorfii
FALSE,TRUE,diagnostic species set,7. bryophytes,sphagn,Sphagnum,Sphagnum wilfii
FALSE,TRUE,functional group,8. lichen,lichen,lichen,lichen
TRUE,TRUE,diagnostic species set,1. needleleaf tree,pinus,Pinus trees,Pinus
TRUE,TRUE,diagnostic species set,1. needleleaf tree,pinus,Pinus trees,Pinus contorta
TRUE,TRUE,diagnostic species set,1. needleleaf tree,pinus,Pinus trees,Pinus contorta var. contorta
TRUE,TRUE,diagnostic species set,1. needleleaf tree,pinus,Pinus trees,Pinus contorta var. latifolia
TRUE,TRUE,abiotic,9. abiotic,bare,bare ground,n/a
TRUE,TRUE,none,9. abiotic,perwat,percentage growing season surface water,n/a
